Area,AP Ratio,District,Season,Avg Temp,Avg Humidity,Crop Name,Transplant,Growth,Harvest,Production,Max Temp,Min Temp,Max Relative Humidity,Min Relative Humidity
71,2.183098592,Chapai Nawabganj,Kharif 1,25,70,Amra,June,June to August,August to September,155,30,20,60,80
95,4.810526316,Chattogram,Kharif 1,25,70,Amra,June,June to August,August to September,457,30,20,60,80
77,4.701298701,Chuadanga,Kharif 1,25,70,Amra,June,June to August,August to September,362,30,20,60,80
142,2.605633803,CoxsBazar,Kharif 1,25,70,Amra,June,June to August,August to September,370,30,20,60,80
330,1.081818182,Cumilla,Kharif 1,25,70,Amra,June,June to August,August to September,357,30,20,60,80
31,7.580645161,Dhaka,Kharif 1,25,70,Amra,June,June to August,August to September,235,30,20,60,80
47,12.10638298,Dinajpur,Kharif 1,25,70,Amra,June,June to August,August to September,569,30,20,60,80
479,1.350730689,Faridpur,Kharif 1,25,70,Amra,June,June to August,August to September,647,30,20,60,80
28,1.964285714,Feni,Kharif 1,25,70,Amra,June,June to August,August to September,55,30,20,60,80
11,13.54545455,Gaibandha,Kharif 1,25,70,Amra,June,June to August,August to September,149,30,20,60,80
40,5.9,Gazipur,Kharif 1,25,70,Amra,June,June to August,August to September,236,30,20,60,80
52,11.36538462,Gopalganj,Kharif 1,25,70,Amra,June,June to August,August to September,591,30,20,60,80
141,3.780141844,Habiganj,Kharif 1,25,70,Amra,June,June to August,August to September,533,30,20,60,80
86,4.069767442,Jamalpur,Kharif 1,25,70,Amra,June,June to August,August to September,350,30,20,60,80
204,5.980392157,Jashore,Kharif 1,25,70,Amra,June,June to August,August to September,1220,30,20,60,80
742,6.132075472,Jhallokati,Kharif 1,25,70,Amra,June,June to August,August to September,4550,30,20,60,80
97,14.50515464,Jhenaidah,Kharif 1,25,70,Amra,June,June to August,August to September,1407,30,20,60,80
31,9.774193548,Joypurhat,Kharif 1,25,70,Amra,June,June to August,August to September,303,30,20,60,80
129,2.062015504,Khagrachari,Kharif 1,25,70,Amra,June,June to August,August to September,266,30,20,60,80
592,1.491554054,Khulna,Kharif 1,25,70,Amra,June,June to August,August to September,883,30,20,60,80
60,9.45,Kishoreganj,Kharif 1,25,70,Amra,June,June to August,August to September,567,30,20,60,80
24,6.958333333,Kurigram,Kharif 1,25,70,Amra,June,June to August,August to September,167,30,20,60,80
63,9.238095238,Kushtia,Kharif 1,25,70,Amra,June,June to August,August to September,582,30,20,60,80
13,27.69230769,Lakshmipur,Kharif 1,25,70,Amra,June,June to August,August to September,360,30,20,60,80
6,1.5,Lalmonirhat,Kharif 1,25,70,Amra,June,June to August,August to September,9,30,20,60,80
33,21.18181818,Madaripur,Kharif 1,25,70,Amra,June,June to August,August to September,699,30,20,60,80
96,10.33333333,Magura,Kharif 1,25,70,Amra,June,June to August,August to September,992,30,20,60,80
18,4.111111111,Manikganj,Kharif 1,25,70,Amra,June,June to August,August to September,74,30,20,60,80
101,1.851485149,Meherpur,Kharif 1,25,70,Amra,June,June to August,August to September,187,30,20,60,80
86,8.976744186,Moulvibazar,Kharif 1,25,70,Amra,June,June to August,August to September,772,30,20,60,80
15,9.133333333,Munshiganj,Kharif 1,25,70,Amra,June,June to August,August to September,137,30,20,60,80
407,1.680589681,Mymensingh,Kharif 1,25,70,Amra,June,June to August,August to September,684,30,20,60,80
62,5.548387097,Naogaon,Kharif 1,25,70,Amra,June,June to August,August to September,344,30,20,60,80
218,6.119266055,Narail,Kharif 1,25,70,Amra,June,June to August,August to September,1334,30,20,60,80
8,17.125,Narayanganj,Kharif 1,25,70,Amra,June,June to August,August to September,137,30,20,60,80
28,7.857142857,Narsingdi,Kharif 1,25,70,Amra,June,June to August,August to September,220,30,20,60,80
270,3.074074074,Natore,Kharif 1,25,70,Amra,June,June to August,August to September,830,30,20,60,80
64,5.109375,Netrokona,Kharif 1,25,70,Amra,June,June to August,August to September,327,30,20,60,80
5,20.8,Nilphamari,Kharif 1,25,70,Amra,June,June to August,August to September,104,30,20,60,80
79,7.417721519,Noakhali,Kharif 1,25,70,Amra,June,June to August,August to September,586,30,20,60,80
81,3,Pabna,Kharif 1,25,70,Amra,June,June to August,August to September,243,30,20,60,80
19,6.315789474,Panchagar,Kharif 1,25,70,Amra,June,June to August,August to September,120,30,20,60,80
400,1.2325,Patuakhali,Kharif 1,25,70,Amra,June,June to August,August to September,493,30,20,60,80
394,11.64720812,Pirojpur,Kharif 1,25,70,Amra,June,June to August,August to September,4589,30,20,60,80
233,2.30472103,Rajbari,Kharif 1,25,70,Amra,June,June to August,August to September,537,30,20,60,80
183,2.912568306,Rajshahi,Kharif 1,25,70,Amra,June,June to August,August to September,533,30,20,60,80
128,1.7265625,Rangamati,Kharif 1,25,70,Amra,June,June to August,August to September,221,30,20,60,80
12,10,Rangpur,Kharif 1,25,70,Amra,June,June to August,August to September,120,30,20,60,80
391,2.749360614,Satkhira,Kharif 1,25,70,Amra,June,June to August,August to September,1075,30,20,60,80
84,4.047619048,Shariatpur,Kharif 1,25,70,Amra,June,June to August,August to September,340,30,20,60,80
58,5.25862069,Sherpur,Kharif 1,25,70,Amra,June,June to August,August to September,305,30,20,60,80
23,12.13043478,Sirajganj,Kharif 1,25,70,Amra,June,June to August,August to September,279,30,20,60,80
41,0.756097561,Sunamganj,Kharif 1,25,70,Amra,June,June to August,August to September,31,30,20,60,80
66,2.121212121,Sylhet,Kharif 1,25,70,Amra,June,June to August,August to September,140,30,20,60,80
518,0.9691119691,Tangail,Kharif 1,25,70,Amra,June,June to August,August to September,502,30,20,60,80
16,6.75,Thakurgaon,Kharif 1,25,70,Amra,June,June to August,August to September,108,30,20,60,80
0,#DIV/0!,Bagerhat,Kharif 2,28,35,Arhar,Aug,Sep to Oct,Nov,0,30,26,20,50
64,0.265625,Bandarban,Kharif 2,28,35,Arhar,Aug,Sep to Oct,Nov,17,30,26,20,50
0,#DIV/0!,Barguna,Kharif 2,28,35,Arhar,Aug,Sep to Oct,Nov,0,30,26,20,50
0,#DIV/0!,Barishal,Kharif 2,28,35,Arhar,Aug,Sep to Oct,Nov,0,30,26,20,50
0,#DIV/0!,Bhola,Kharif 2,28,35,Arhar,Aug,Sep to Oct,Nov,0,30,26,20,50
6,0.3333333333,Bogura,Kharif 2,28,35,Arhar,Aug,Sep to Oct,Nov,2,30,26,20,50
0,#DIV/0!,Brahmanbaria,Kharif 2,28,35,Arhar,Aug,Sep to Oct,Nov,0,30,26,20,50
0,#DIV/0!,Chandpur,Kharif 2,28,35,Arhar,Aug,Sep to Oct,Nov,0,30,26,20,50
50,0.38,Chapai Nawabganj,Kharif 2,28,35,Arhar,Aug,Sep to Oct,Nov,19,30,26,20,50
35,0.6571428571,Chattogram,Kharif 2,28,35,Arhar,Aug,Sep to Oct,Nov,23,30,26,20,50
24,0.25,Chuadanga,Kharif 2,28,35,Arhar,Aug,Sep to Oct,Nov,6,30,26,20,50
2,2,CoxsBazar,Kharif 2,28,35,Arhar,Aug,Sep to Oct,Nov,4,30,26,20,50
2,0,Cumilla,Kharif 2,28,35,Arhar,Aug,Sep to Oct,Nov,0,30,26,20,50
0,#DIV/0!,Dhaka,Kharif 2,28,35,Arhar,Aug,Sep to Oct,Nov,0,30,26,20,50
15,0.2666666667,Dinajpur,Kharif 2,28,35,Arhar,Aug,Sep to Oct,Nov,4,30,26,20,50
5,0.4,Faridpur,Kharif 2,28,35,Arhar,Aug,Sep to Oct,Nov,2,30,26,20,50
11,0.1818181818,Feni,Kharif 2,28,35,Arhar,Aug,Sep to Oct,Nov,2,30,26,20,50
49,0.5918367347,Gaibandha,Kharif 2,28,35,Arhar,Aug,Sep to Oct,Nov,29,30,26,20,50
2,0,Gazipur,Kharif 2,28,35,Arhar,Aug,Sep to Oct,Nov,0,30,26,20,50
0,#DIV/0!,Gopalganj,Kharif 2,28,35,Arhar,Aug,Sep to Oct,Nov,0,30,26,20,50
0,#DIV/0!,Habiganj,Kharif 2,28,35,Arhar,Aug,Sep to Oct,Nov,0,30,26,20,50
8,0.25,Jamalpur,Kharif 2,28,35,Arhar,Aug,Sep to Oct,Nov,2,30,26,20,50
12,0.3333333333,Jashore,Kharif 2,28,35,Arhar,Aug,Sep to Oct,Nov,4,30,26,20,50
0,#DIV/0!,Jhallokati,Kharif 2,28,35,Arhar,Aug,Sep to Oct,Nov,0,30,26,20,50
0,#DIV/0!,Jhenaidah,Kharif 2,28,35,Arhar,Aug,Sep to Oct,Nov,0,30,26,20,50
20,0.4,Joypurhat,Kharif 2,28,35,Arhar,Aug,Sep to Oct,Nov,8,30,26,20,50
29,0.3103448276,Khagrachari,Kharif 2,28,35,Arhar,Aug,Sep to Oct,Nov,9,30,26,20,50
0,#DIV/0!,Khulna,Kharif 2,28,35,Arhar,Aug,Sep to Oct,Nov,0,30,26,20,50
0,#DIV/0!,Kishoreganj,Kharif 2,28,35,Arhar,Aug,Sep to Oct,Nov,0,30,26,20,50
61,0.2950819672,Kurigram,Kharif 2,28,35,Arhar,Aug,Sep to Oct,Nov,18,30,26,20,50
91,0.4725274725,Kushtia,Kharif 2,28,35,Arhar,Aug,Sep to Oct,Nov,43,30,26,20,50
14,0.1428571429,Lakshmipur,Kharif 2,28,35,Arhar,Aug,Sep to Oct,Nov,2,30,26,20,50
7,0.1428571429,Lalmonirhat,Kharif 2,28,35,Arhar,Aug,Sep to Oct,Nov,1,30,26,20,50
0,#DIV/0!,Madaripur,Kharif 2,28,35,Arhar,Aug,Sep to Oct,Nov,0,30,26,20,50
11,0.2727272727,Magura,Kharif 2,28,35,Arhar,Aug,Sep to Oct,Nov,3,30,26,20,50
0,#DIV/0!,Manikganj,Kharif 2,28,35,Arhar,Aug,Sep to Oct,Nov,0,30,26,20,50
16,0.375,Meherpur,Kharif 2,28,35,Arhar,Aug,Sep to Oct,Nov,6,30,26,20,50
26,0.2692307692,Moulvibazar,Kharif 2,28,35,Arhar,Aug,Sep to Oct,Nov,7,30,26,20,50
12,0.25,Munshiganj,Kharif 2,28,35,Arhar,Aug,Sep to Oct,Nov,3,30,26,20,50
0,#DIV/0!,Mymensingh,Kharif 2,28,35,Arhar,Aug,Sep to Oct,Nov,0,30,26,20,50
132,0.4166666667,Naogaon,Kharif 2,28,35,Arhar,Aug,Sep to Oct,Nov,55,30,26,20,50
0,#DIV/0!,Narail,Kharif 2,28,35,Arhar,Aug,Sep to Oct,Nov,0,30,26,20,50
0,#DIV/0!,Narayanganj,Kharif 2,28,35,Arhar,Aug,Sep to Oct,Nov,0,30,26,20,50
0,#DIV/0!,Narsingdi,Kharif 2,28,35,Arhar,Aug,Sep to Oct,Nov,0,30,26,20,50
15,0.2,Natore,Kharif 2,28,35,Arhar,Aug,Sep to Oct,Nov,3,30,26,20,50
8,0.375,Netrokona,Kharif 2,28,35,Arhar,Aug,Sep to Oct,Nov,3,30,26,20,50
0,#DIV/0!,Nilphamari,Kharif 2,28,35,Arhar,Aug,Sep to Oct,Nov,0,30,26,20,50
40,0.25,Noakhali,Kharif 2,28,35,Arhar,Aug,Sep to Oct,Nov,10,30,26,20,50
7,0.7142857143,Pabna,Kharif 2,28,35,Arhar,Aug,Sep to Oct,Nov,5,30,26,20,50
0,#DIV/0!,Panchagar,Kharif 2,28,35,Arhar,Aug,Sep to Oct,Nov,0,30,26,20,50
0,#DIV/0!,Patuakhali,Kharif 2,28,35,Arhar,Aug,Sep to Oct,Nov,0,30,26,20,50
0,#DIV/0!,Pirojpur,Kharif 2,28,35,Arhar,Aug,Sep to Oct,Nov,0,30,26,20,50
33,0.2727272727,Rajbari,Kharif 2,28,35,Arhar,Aug,Sep to Oct,Nov,9,30,26,20,50
6,0.1666666667,Rajshahi,Kharif 2,28,35,Arhar,Aug,Sep to Oct,Nov,1,30,26,20,50
151,0.5298013245,Rangamati,Kharif 2,28,35,Arhar,Aug,Sep to Oct,Nov,80,30,26,20,50
83,0.734939759,Rangpur,Kharif 2,28,35,Arhar,Aug,Sep to Oct,Nov,61,30,26,20,50
0,#DIV/0!,Satkhira,Kharif 2,28,35,Arhar,Aug,Sep to Oct,Nov,0,30,26,20,50
0,#DIV/0!,Shariatpur,Kharif 2,28,35,Arhar,Aug,Sep to Oct,Nov,0,30,26,20,50
8,0.375,Sherpur,Kharif 2,28,35,Arhar,Aug,Sep to Oct,Nov,3,30,26,20,50
0,#DIV/0!,Sirajganj,Kharif 2,28,35,Arhar,Aug,Sep to Oct,Nov,0,30,26,20,50
0,#DIV/0!,Sunamganj,Kharif 2,28,35,Arhar,Aug,Sep to Oct,Nov,0,30,26,20,50
0,#DIV/0!,Sylhet,Kharif 2,28,35,Arhar,Aug,Sep to Oct,Nov,0,30,26,20,50
3,0,Tangail,Kharif 2,28,35,Arhar,Aug,Sep to Oct,Nov,0,30,26,20,50
40,0.35,Thakurgaon,Kharif 2,28,35,Arhar,Aug,Sep to Oct,Nov,14,30,26,20,50
14355,1.118843608,Bagerhat,Kharif 1,26,72.5,Aus,March,April to july,Aug,16061,40,12,60,85
30323,0.80681331,Bandarban,Kharif 1,26,72.5,Aus,March,April to july,Aug,24465,40,12,60,85
136821,1.023665958,Barguna,Kharif 1,26,72.5,Aus,March,April to july,Aug,140059,40,12,60,85
44719,0.7564793488,Barishal,Kharif 1,26,72.5,Aus,March,April to july,Aug,33829,40,12,60,85
225181,0.7846976432,Bhola,Kharif 1,26,72.5,Aus,March,April to july,Aug,176699,40,12,60,85
79878,0.9793184607,Bogura,Kharif 1,26,72.5,Aus,March,April to july,Aug,78226,40,12,60,85
28171,1.044016897,Brahmanbaria,Kharif 1,26,72.5,Aus,March,April to july,Aug,29411,40,12,60,85
26157,1.04304775,Chandpur,Kharif 1,26,72.5,Aus,March,April to july,Aug,27283,40,12,60,85
112725,1.093138168,Chapai Nawabganj,Kharif 1,26,72.5,Aus,March,April to july,Aug,123224,40,12,60,85
87232,1.168241012,Chattogram,Kharif 1,26,72.5,Aus,March,April to july,Aug,101908,40,12,60,85
105578,1.08818125,Chuadanga,Kharif 1,26,72.5,Aus,March,April to july,Aug,114888,40,12,60,85
7479,1.064447119,CoxsBazar,Kharif 1,26,72.5,Aus,March,April to july,Aug,7961,40,12,60,85
194395,0.9509400962,Cumilla,Kharif 1,26,72.5,Aus,March,April to july,Aug,184858,40,12,60,85
1454,0.7902338377,Dhaka,Kharif 1,26,72.5,Aus,March,April to july,Aug,1149,40,12,60,85
28663,0.8469804277,Dinajpur,Kharif 1,26,72.5,Aus,March,April to july,Aug,24277,40,12,60,85
21437,0.6256938937,Faridpur,Kharif 1,26,72.5,Aus,March,April to july,Aug,13413,40,12,60,85
27313,0.8943726431,Feni,Kharif 1,26,72.5,Aus,March,April to july,Aug,24428,40,12,60,85
34902,0.8496074724,Gaibandha,Kharif 1,26,72.5,Aus,March,April to july,Aug,29653,40,12,60,85
3943,1.305351255,Gazipur,Kharif 1,26,72.5,Aus,March,April to july,Aug,5147,40,12,60,85
9664,1.432326159,Gopalganj,Kharif 1,26,72.5,Aus,March,April to july,Aug,13842,40,12,60,85
191786,1.085219985,Habiganj,Kharif 1,26,72.5,Aus,March,April to july,Aug,208130,40,12,60,85
9975,0.9179949875,Jamalpur,Kharif 1,26,72.5,Aus,March,April to july,Aug,9157,40,12,60,85
41981,1.262070937,Jashore,Kharif 1,26,72.5,Aus,March,April to july,Aug,52983,40,12,60,85
39679,1.070692306,Jhallokati,Kharif 1,26,72.5,Aus,March,April to july,Aug,42484,40,12,60,85
87423,1.223591046,Jhenaidah,Kharif 1,26,72.5,Aus,March,April to july,Aug,106970,40,12,60,85
1038,0.9441233141,Joypurhat,Kharif 1,26,72.5,Aus,March,April to july,Aug,980,40,12,60,85
11154,1.009144701,Khagrachari,Kharif 1,26,72.5,Aus,March,April to july,Aug,11256,40,12,60,85
9017,0.5480758567,Khulna,Kharif 1,26,72.5,Aus,March,April to july,Aug,4942,40,12,60,85
66014,1.050216621,Kishoreganj,Kharif 1,26,72.5,Aus,March,April to july,Aug,69329,40,12,60,85
16357,0.8437977624,Kurigram,Kharif 1,26,72.5,Aus,March,April to july,Aug,13802,40,12,60,85
67774,1.167424086,Kushtia,Kharif 1,26,72.5,Aus,March,April to july,Aug,79121,40,12,60,85
80238,0.8856152945,Lakshmipur,Kharif 1,26,72.5,Aus,March,April to july,Aug,71060,40,12,60,85
27851,1.01267459,Lalmonirhat,Kharif 1,26,72.5,Aus,March,April to july,Aug,28204,40,12,60,85
4854,0.6847960445,Madaripur,Kharif 1,26,72.5,Aus,March,April to july,Aug,3324,40,12,60,85
14520,0.8349173554,Magura,Kharif 1,26,72.5,Aus,March,April to july,Aug,12123,40,12,60,85
8158,0.8540083354,Manikganj,Kharif 1,26,72.5,Aus,March,April to july,Aug,6967,40,12,60,85
51464,1.24450101,Meherpur,Kharif 1,26,72.5,Aus,March,April to july,Aug,64047,40,12,60,85
129959,1.211181988,Moulvibazar,Kharif 1,26,72.5,Aus,March,April to july,Aug,157404,40,12,60,85
447,0.8970917226,Munshiganj,Kharif 1,26,72.5,Aus,March,April to july,Aug,401,40,12,60,85
58364,0.9350627099,Mymensingh,Kharif 1,26,72.5,Aus,March,April to july,Aug,54574,40,12,60,85
158927,1.077677173,Naogaon,Kharif 1,26,72.5,Aus,March,April to july,Aug,171272,40,12,60,85
22828,0.8399334151,Narail,Kharif 1,26,72.5,Aus,March,April to july,Aug,19174,40,12,60,85
6054,0.9326065411,Narayanganj,Kharif 1,26,72.5,Aus,March,April to july,Aug,5646,40,12,60,85
3735,1.089959839,Narsingdi,Kharif 1,26,72.5,Aus,March,April to july,Aug,4071,40,12,60,85
24015,1.151405372,Natore,Kharif 1,26,72.5,Aus,March,April to july,Aug,27651,40,12,60,85
3609,0.9614851759,Netrokona,Kharif 1,26,72.5,Aus,March,April to july,Aug,3470,40,12,60,85
4312,0.8267625232,Nilphamari,Kharif 1,26,72.5,Aus,March,April to july,Aug,3565,40,12,60,85
99075,0.8683017916,Noakhali,Kharif 1,26,72.5,Aus,March,April to july,Aug,86027,40,12,60,85
59351,0.8480733265,Pabna,Kharif 1,26,72.5,Aus,March,April to july,Aug,50334,40,12,60,85
6020,1.027408638,Panchagar,Kharif 1,26,72.5,Aus,March,April to july,Aug,6185,40,12,60,85
83287,1.017097506,Patuakhali,Kharif 1,26,72.5,Aus,March,April to july,Aug,84711,40,12,60,85
33909,0.948538736,Pirojpur,Kharif 1,26,72.5,Aus,March,April to july,Aug,32164,40,12,60,85
6411,0.6995788489,Rajbari,Kharif 1,26,72.5,Aus,March,April to july,Aug,4485,40,12,60,85
108931,1.151600554,Rajshahi,Kharif 1,26,72.5,Aus,March,April to july,Aug,125445,40,12,60,85
14523,0.6259725952,Rangamati,Kharif 1,26,72.5,Aus,March,April to july,Aug,9091,40,12,60,85
63967,1.11011928,Rangpur,Kharif 1,26,72.5,Aus,March,April to july,Aug,71011,40,12,60,85
19706,1.143306607,Satkhira,Kharif 1,26,72.5,Aus,March,April to july,Aug,22530,40,12,60,85
30842,0.9831074509,Shariatpur,Kharif 1,26,72.5,Aus,March,April to july,Aug,30321,40,12,60,85
